Human gene	Yeast genes
DPF2	SFP1
RNF10	MAG2	SLX8
UBE2J2	UBC6
BUB1B	MAD3
ELOF1	ELF1
ERGIC3	ERV46
CCS	CCS1
RNASEH2A	RNH201
FKBP5	FPR3
MLH1	MLH1
FKBP2	FPR2
KIF2C	KIP2
RANBP10	VID30	YMR171C
SETD3	SET7
HIST1H2AJ	HTA2
CDC73	CDC73
STUB1	TAH1
PPP4C	PPH3
CCNC	SSN8
PPP2R4	RRD1	RRD2
PA2G4	ARX1
LIG4	DNL4
PRKAG1	SNF4
RNF115	SAN1
NSFL1C	SHP1
SC5DL	ERG3
BRDT	BDF2
ABCD3	PXA2	PXA1
MAPRE3	TIM18	COS12	BIM1
FBXL14	RAD7
BRCA1	RAD18
WDR5	SWD3
PBRM1	RSC1	RSC2
RAB5A	YPT53	VPS21
SOD1	SOD1
XPA	RAD14
KDM4D	RPH1
SMARCAD1	FUN30
REV3L	REV3
MON2	MON2
RAE1	GLE2	BUB3
HELQ	HFM1
THOC3	TEX1
THOC2	RLR1
PMS2	PMS1	MLH2
PAFAH1B1	PAC1
TDP1	TDP1
CSNK2A1	CKA2
KRAS	RAS2
PCGF1	IRC20
H2AFV	HTZ1
KCTD17	UFD2
ORMDL3	ORM1	ORM2
INPP5F	SAC1
PPP2CA	PPH22	PPH21
HIGD2A	YML030W
CUL2	RTT101
FA2H	SCS7
RBBP5	SWD1
RBBP4	HAT2
PTGES3	SBA1
CTR9	CTR9
XRN1	KEM1
YEATS4	YAF9	TAF14
FKBP1A	FPR1	FPR4
NTHL1	NTG2	NTG1
AMD1	SWC7	MRS1	SPE2
ELP3	ELP3
TBCE	PAC2
KDM5B	JHD2
VPS72	VPS72
CCND2	CLB6
STMN1	RLF2
ZNF56	GIS1
HACL1	PDC1	THI3	YEL020C	PDC5	PDC6
RAB6A	YPT6
SNRPA	MUD1
SLC31A1	MEC3	CTR3
FEN1	RAD27
STX7	VAM3	PEP12
RRAGA	GTR1
PFDN2	GIM4
SEPT6	CDC10
MAT2A	SAM2	SAM1
MMS19	MET18
CHD1	CHD1
C20ORF11	GID8
ABCF3	GCN20
SLC9A1	HSL1
SUB1	SUB1
CCNE2	CLB5
CHCHD8	YLR218C
EXO1	DIN7	EXO1
FOXA3	HCM1
TRIAP1	MDM35
AHSA1	AHA1	HCH1
SIRT7	HST4
TIMM13	TIM13
NF1	IRA2	IRA1
PFDN5	GIM5
MYST1	SAS2
CHEK2	DUN1
CHEK1	CHK1
SIRT3	HST3	HST2
NEDD8	RUB1
SIRT1	SIR2	HST1
BUB1	BUB1
UMPS	URA5	URA10	URA3
KIAA0368	ECM29
CDC25C	MIH1
MSH4	MSH4
MED31	SOH1
EPN1	ENT2	ENT5	ENT4
UBE2E2	UBC5
FOLH1	TRE2	VPS70
POLR2D	RPB4
PCSK2	KEX2
RECQL	SGS1
UBA3	UBA3	YKL027W
SMYD3	SET5	SET6
TTF2	RAD16
RNF40	BRE1
PHF20	CTI6
KIF3A	KIP3
UBE2H	UBC8
NASP	CTF19
TUBAL3	TUB3
PAAF1	RPN14
UBE2N	UBC13
UBE2A	RAD6
PCID2	THP1	CSN12
PSMD11	RPN6
USP50	UBP5
ELP2	ELP2
POLE4	HAP5	DPB3
POLE3	DPB4
PPIA	CPR4	CPR1	CPR8
ACTR8	ARP8
ACTR6	ARP6
HLTF	RAD5	RIS1
FBXL20	GRR1
TMEM30A	YNR048W	LEM3	CDC50
PROSC	YBL036C
TOP3B	TOP3
HDAC1	HOS2	RPD3	HOS1
RAD23B	RAD23
VBP1	PAC10
HDAC7	HOS3
HDAC6	HDA1
PDHA1	PDA1
RAD51L3	RAD55	PET130
HAT1	HAT1
POLG	MIP1
MUS81	MUS81
ZNF622	REI1
RMND5A	RMD5
SMPD2	ISC1
ATP6V1A	TFP1
PLAA	DOA1
POLH	RAD30
EXOSC10	RRP6
MDK	SLX5
MRE11A	MRE11
RBM8A	IST3
GP1BA	GON7	BUD32
GCN1L1	GCN1	YEF3	HEF3
MAPK1	FUS3
PSMA4	PRE9
PSMD4	RPN10
ENY2	SUS1
AGTRAP	UBR1
TCEB1	ELC1
MORF4L1	EAF3
PPCDC	VHS3	YKL088W	SIS2
SEL1L	HRD3	ACK1
H1F0	HHO1
POMP	UMP1
PFDN4	GIM3
RQCD1	CAF40
PSMD1	RPN2
PAF1	PAF1
FOXD2	FKH1
N/A	RPL16A	ESA1	MSH5	CHL1	YKL023W	OGG1	PHO23	RIM1	YTA7	SFH1	RAI1	UBC11	YKE2	CKB2	TMA22	LTE1	RAD26	SAS3	UBP8	UBI4	SET2	TMA20	SNF5	SRP40	KAR3	UBC4	SWR1	SEC22	NHP6B	SPT4
SRR	ILV1	SRY1
GALE	SPT8	RTG2	GAL10
PRDX1	TSA1	TSA2
UNG	UNG1
UBE2M	UBC12
UBE2V2	MMS2
WRNIP1	MGS1
DBR1	DBR1
SRPK3	SKY1
MAEA	FYV10
BUD13	BUD13
TBL1XR1	SIF2
HIRA	HIR2	HIR1
PSPH	SER2
SKIV2L2	MTR4	SKI2
TBCA	RBL2
PPP1R15A	RIF2
LEO1	LEO1	DDR48
CDC2L6	SSN3
RPRD1B	RTT103
SMEK1	PSY2
RAD52	RAD52
RAD51	RAD57	RAD51
RAD50	RAD50
CDK5RAP2	CLN1
TBC1D13	BUB2
GLS2	HOS4
ERCC8	RAD28
SMARCA5	ISW2
MAD2L1	MAD2
DYSFIP1	SPT23
SSRP1	POB3	RTT106
HMGB2	NHP6A
MSH2	MSH2
MSH3	MSH1	MSH3
ERCC4	RAD1
PRKAA2	SNF1
MSH6	MSH6
USP7	UBP15
PEX19	VID22	YDR119W	YCR061W
PUS3	PUS1	DEG1
TOP1	TOP1
RRM1	RNR3	RNR1
CHAF1B	CAC2
TEAD2	TEC1
LARS2	NAM2
SWAP70	MAD1
BIN3	RVS161
DCLRE1A	PSO2
YWHAZ	BMH1
CCNA2	CLB4
C2ORF39	VIK1
AQR	HCS1
ATP13A1	SPF1
PRPF18	PRP18
MLLT6	NTO1	SNT2
UBQLN1	DSK2
CRY1	PHR1
SFRS1	GBP2
SUPT3H	SPT3
UCHL3	YUH1
DMC1	DMC1
ARHGDIA	RDI1
TRA2A	RIM4
HOMER3	NUP133	PAC11
MTA1	SET3
ASF1B	ASF1
CNOT4	MOT2
RNASEH1	RNH1
TTLL1	PBY1
SUPT16H	SPT16
TCEA2	DST1
CYP4V2	ERG5
VCL	YKU80	CLB2
LSM1	LSM1
PRMT8	HMT1
USP12	UBP9
SHOX2	YHP1
RTF1	RTF1
USP14	UBP6
DYNC1H1	DYN1
XPO5	MSN5
MLX	RTG3
TTBK1	YCK3
HELLS	IRC5
CHD1L	ISW1
ARID3A	ECM5
CCNB2	CLB3
DAZAP2	RAD4
DIS3	SSD1	DIS3
PEMT	OPI3
TIPIN	CSM3
MON1A	MON1
PSAT1	SER1
RAD54L	RAD54	RDH54
PIF1	PIF1	RRM3
LDB1	WHI2	PUT3	SPO7
TRMU	SLM3
CFDP1	SWC5
ATPAF1	ATP11
NAP1L1	NAP1
ARD1A	ARD1
UBE2G2	UBC7
WDR73	MSI1
PPP2R5C	RTS1
SFRS5	HRB1
SSB	LHP1
